Address,latitude,longitude
"Noida Extension, Noida, Delhi NCR",28.60885,77.46056
"Sector 79, Gurgaon, Delhi NCR",28.37423557,76.95241631
"Vaishali, Ghaziabad, Delhi NCR",28.645769,77.38511
"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",28.566914,77.436434
"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",28.520732,77.356491
"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",28.62804,77.437809
"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",28.610645,77.455837
"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",28.471233,76.969597
"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",28.5814311,77.4528192
"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",28.614181,77.427713
"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72407532,77.09558105
"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",28.436305,77.13605
"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",28.51313972,77.0259552
"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",28.50746138,77.40781667
"G T Road, Ghaziabad, Delhi NCR",28.679009,77.34929514
"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72143555,77.10701752
"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72721291,77.09606171
"Noida Extension, Noida, Delhi NCR",28.61607805,77.42810225
"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",28.64431,77.33178711
"Sector 45, Noida, Sector 45, Noida, Delhi NCR",28.54692971,77.35438729
"Sector 37C, Gurgaon, Delhi NCR",28.449384,76.98441
"Sushant Lok 2, Gurgaon, Delhi NCR",28.423049,77.08741
"Sector 29, Noida, Delhi NCR",28.56973716,77.33241167
"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",28.529146,77.355843
"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",28.58749935,77.44316979
"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",28.616204,77.422256
"Noida extension., Noida Extension, Greater Noida, Delhi NCR",28.57223,77.474898
"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",28.6571606,77.355748
"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",28.645769,77.38511
"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",28.387731,76.96791987
"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",28.49744987,77.02709198
"lotus boulevard, Sector 100, Noida, Delhi NCR",28.54341218,77.367853
"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",28.43520877,77.09022523
"Shakti Khand 2, Ghaziabad, Delhi NCR",28.6467392,77.3709475
"Sector 68, Gurgaon, Delhi NCR",28.3907304,77.05782257
"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",28.482277,76.99199526
"Aspire1106, Sector 78, Noida, Delhi NCR",28.5604873,77.384084
"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",28.55985069,77.24765015
"Krishna Park Colony, New Delhi - South, Delhi NCR",28.50809,77.2314673
"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",28.558586,77.2511855
"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",28.68956947,77.33861542
"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",28.5905383,77.35981
"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",28.5922718,77.0836792
"Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",28.424904,77.03476
"Patel Nagar West, New Delhi - West, Delhi NCR",28.652429,77.1643181
"Sector 65, Gurgaon, Delhi NCR",28.3978564,77.07393158
"G 033., Sector 108, Gurgaon, Delhi NCR",28.512136,76.986899
"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",28.65280724,77.4509201
"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",28.436305,77.13605
"Vaishali, Ghaziabad, Delhi NCR",28.647938,77.340697
"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",28.646509,77.38148828
"Sector 108, Gurgaon, Delhi NCR",28.512136,76.986899
"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",28.487018,76.998009
"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",28.391644,77.06486457
"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",28.6016823,77.03193279
"Sector 137, Noida, Sector 137, Noida, Delhi NCR",28.50920801,77.40662554
"Vaishali, Ghaziabad, Delhi NCR",28.648794,77.34253225
"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",28.59344,77.065951
"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",28.49589348,77.18599701
"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",28.28709602,77.06906128
"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",28.410466,76.962531
"Sector 76, Noida, Sector 76, Noida, Delhi NCR",28.570142,77.386273
"Dwarka, New Delhi - Dwarka, Delhi NCR",28.59343183,77.04427276
"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",28.566914,77.436434
"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",28.4818021,77.2200217
"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",28.548787,77.346032
"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",28.247592,77.069185
"Indirapuram, Ghaziabad, Delhi NCR",28.6493479,77.3696259
"Sector 137, Noida, Sector 137, Noida, Delhi NCR",28.509118,77.413416
"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",28.6452824,77.3621025
"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",28.579593,77.445197
"F-54., South City 2, Gurgaon, Delhi NCR",28.4178669,77.0512457
"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",28.685449,77.5092258
"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",28.51284137,77.48955332
"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",28.433653,77.152919
"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",28.475274,77.545978
"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",28.519997,77.376873
"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",28.60595894,77.44451141
"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",28.4655907,77.5114027
"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",28.609898,77.436343
"Paschim Vihar, New Delhi - West, Delhi NCR",28.6677244,77.0979515
"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",28.63472366,77.04911041
"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",28.58548927,77.39931488
"Sector 99, Gurgaon, Delhi NCR",28.44456311,76.9550119
"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",28.63336372,77.43121338
"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",28.4969141,77.1652546
"Sector 71, Gurgaon, Delhi NCR",28.419032,77.028272
